順位,統計地区,登録者数,利用者数,利用割合,利用回数
1,湖南サンライズ,159,73,46,3313
2,曙,132,69,52,2760
3,豊田,143,48,34,1618
4,下駒月,63,27,43,1541
5,上駒月,93,47,51,1517
6,中山,63,20,32,676
7,清田,33,14,42,671
8,下迫,54,22,41,649
9,第３緑ヶ丘,11,7,64,601
10,別所,13,8,62,500
11,上迫,42,14,33,421
12,猫田,37,8,22,317
13,十禅師,45,9,20,274
14,深山口,34,11,32,227
15,中之郷,28,7,25,151
16,山本,16,6,38,123
17,安部居,16,3,19,88
18,鳥居平,7,4,57,66
19,杣,23,9,39,63
20,蓮花寺,13,7,54,58
21,小御門,25,5,20,27
22,原,14,2,14,23
23,佐久良,18,1,6,18
24,北脇,5,2,40,16
25,中在寺,30,4,13,13
26,徳谷,18,4,22,6
27,奥師,11,3,27,5
28,野出,10,2,20,3
29,杉,20,1,5,2
30,小野,4,1,25,2
31,川原,4,0,0,0
32,奥之池,2,0,0,0
33,その他,1085,322,30,6740
